color,text
Green,would draw card may instead choose land nonland reveal card top library reveal card chosen kind put card hand put card revealed way bottom library order
Blue,academy researcher enters battlefield may put aura card hand onto battlefield attached academy researcher
Black,target creature get minusandminus end turn draw card
Green,target creature get plusandplus end turn draw card
Black,look target player hand choose two card put top player library order
Blue,flying
Blue,target player put top three card library graveyard
Red,first strike creature deal combat damage creature without first strike
White,first strike creature deal combat damage creature without first strike ancestor chosen enters battlefield gain life card graveyard
White,flying angel mercy enters battlefield gain life
White,target creature get plusandplus gain flying end turn blocked except creature flying reach
White,whenever creature enters battlefield control gain life equal toughness
White,defender creature attack flying
Red,enchant creature target creature cast card enters battlefield attached creature enchanted creature get plusandplus ha tap creature deal damage target
Blue,tap draw three card bluemanabluemana return arcanis omnipotent owner hand
Black,flying creature blocked except creature flying reach black creature get plusandplus nonblack creature get minusandminus
Black,destroy target tapped creature
Blue,gain control target aura attached permanent attach another permanent enchant
White,artifact enchantment spell opponent cast cost cast sacrifice aura silence destroy target artifact enchantment
Green,opponent control least four creature spell cost le cast trample creature deal excess combat damage player planeswalker attacking
White,flying creature blocked except creature flying reach aven cloudchaser enters battlefield destroy target enchantment
Blue,flying creature blocked except creature flying reach aven fisher dy may draw card
Blue,flying creature blocked except creature flying reach bluemana target player reveals top card library
White,x whitemana tap ballista squad deal x damage target attacking blocking creature
White,prevent next damage would dealt target turn draw card
Red,beacon destruction deal damage target shuffle beacon destruction owner library
White,double target player life total shuffle beacon immortality owner library
Black,put target artifact creature card graveyard onto battlefield control shuffle beacon unrest owner library
White,flash may cast spell time could cast instant first strike creature deal combat damage creature without first strike
Green,flying tap add one mana color
Green,enchant creature enchanted creature get plusandplus forest control
Red,blaze deal x damage target
Red,redmana sacrifice bloodfire colossus deal damage creature player
Red,bloodrock cyclops attack combat able
Black,swampwalk creature blocked long defending player control swamp
Red,bogardan firefiend dy deal damage target creature
Blue,return target permanent owner hand
Blue,counter target spell
Green,reach creature block creature flying
Blue,whenever cephalid constable deal combat damage player return many target permanent player control owner hand
White,prevent damage would dealt chominusmanno revolutionary
Green,civic wayfinder enters battlefield may search library basic land card reveal put hand shuffle library
Blue,may clone enter battlefield copy creature battlefield
Blue,flying cloud elemental block creature flying
Blue,flying creature blocked except creature flying reach cloud sprite block creature flying
Green,look top five card library may reveal creature card among put hand put rest bottom library order
White,put target attacking creature bottom owner library controller gain life equal toughness
Red,cone flame deal damage target damage another target damage third target
Black,spend black mana x consume spirit deal x damage target gain x life
Black,enchant creature target creature cast card enters battlefield attached creature whenever enchanted creature attack block controller loses life
Blue,draw two card
Blue,tap target creature power le blocked turn
Green,destroy target artifact enchantment land
Black,target opponent sacrifice creature
Red,destroy target plain island cryoclasm deal damage land controller
Black,destroy target green white creature
Blue,enchant creature target creature cast card enters battlefield attached creature enchanted creature untap controller untap step
Blue,tap creature without flying
Red,destroy target artifact land
White,destroy target enchantment
Blue,denizen deep enters battlefield return creature control owner hand
Black,search library card put card hand shuffle library
Blue,counter target spell look top four card library put back order
Black,target player reveals hand choose nonland card player discard card
Black,blackmana tap sacrifice doomed necromancer return target creature card graveyard battlefield
Red,redmanaredmana create red dragon creature token flying blocked except creature flying reach
Blue,beginning player upkeep player put top x card library graveyard x number card hand
Black,blackmana regenerate drudge skeleton next time creature would destroyed turn instead tap remove damage remove combat
Red,redmana target creature block duct crawler turn
Black,flying
Green,elven rider blocked except wall andandor creature flying
Green,whenever elvish berserker becomes blocked get plusandplus end turn creature blocking
Green,elf creature get plusandplus forestwalk blocked long defending player control forest
Green,greenmana tap may put creature card hand onto battlefield
Black,essence drain deal damage target gain life
Blue,return creature owner hand
Blue,faerie conclave enters battlefield tapped tap add bluemana bluemana faerie conclave becomes blue faerie creature flying end turn still land
Black,enchant creature target creature cast card enters battlefield attached creature enchanted creature ha fear blocked except artifact creature andandor black creature
Green,tap femeref archer deal damage target attacking creature flying
Black,festering goblin dy target creature get minusandminus end turn
White,soldier creature get plusandplus first strike deal combat damage creature without first strike
Red,enchant creature redmana enchanted creature get plusandplus end turn
Red,target creature get plusandplus end turn
Red,redmana flamewave invoker deal damage target player planeswalker
Blue,counter target red green spell
Red,creature get plusxandminusx end turn
Blue,flying creature blocked except creature flying reach fog elemental attack block sacrifice end combat
White,forbidding watchtower enters battlefield tapped tap add whitemana whitemana forbidding watchtower becomes white soldier creature end turn still land
Green,tap add greenmana
Red,flying creature blocked except creature flying reach redmana furnace whelp get plusandplus end turn
Red,source would deal damage permanent player deal double damage permanent player instead
Green,creature spell countered
Red,ghitu encampment enters battlefield tapped tap add redmana redmana ghitu encampment becomes red warrior creature first strike end turn still land deal combat damage creature without first strike
White,tap target creature get plusandplus end turn
Green,target creature get plusandplus end turn
Green,reach creature block creature flying
White,creature control get plusandplus
Red,whenever goblin elite infantry block becomes blocked get minusandminus end turn
Red,goblin creature get plusandplus mountainwalk blocked long defending player control mountain
Red,draw four card discard three card random
Red,flying creature blocked except creature flying reach
Black,whenever creature control dy player sacrifice creature
Black,beginning upkeep draw x card lose x life x number zombie control
Black,gravedigger enters battlefield may return target creature card graveyard hand
Red,guerrilla tactic deal damage target spell ability opponent control cause discard guerrilla tactic guerrilla tactic deal damage target
White,hail arrow deal x damage divided choose among number target attacking creature
Black,target blue red creature get plusandplus end turn
Black,target opponent put card hand top library search player library many card player put card hand shuffle library
White,enchant creature target creature cast card enters battlefield attached creature prevent damage would dealt dealt enchanted creature
Black,hidden horror enters battlefield sacrifice unless discard creature card
White,creature control block additional creature combat
Black,highway robber enters battlefield target opponent loses life gain life
White,prevent combat damage would dealt turn
White,enchant creature enchanted creature get plusandplus
White,whitemana honor guard get plusandplus end turn
Blue,bluemana untap horseshoe crab
Green,hunted wumpus enters battlefield player may put creature card hand onto battlefield
Blue,return artifact target player owns hand
Green,hurricane deal x damage creature flying player
Black,flying whenever hypnotic specter deal damage opponent player discard card random
White,whitemanawhitemana target creature get plusandplus end turn
Red,incinerate deal damage target creature dealt damage way regenerated turn
Blue,tap add bluemana
Green,land control tap add one mana color
Red,haste creature attack tap soon come control tap kamahl pit fighter deal damage target
Green,karplusan strider target blue black spell
Green,kavu climber enters battlefield draw card
White,tap combat damage would dealt unblocked creature turn dealt kjeldoran royal guard instead
Black,blackmanablackmana destroy target creature blocking knight dusk
Red,lava axe deal damage target player planeswalker
Red,beginning opponent upkeep player ha two fewer card hand lavaborn muse deal damage player
Red,haste creature attack tap soon come control
Green,tap add greenmana
Green,llanowar sentinel enters battlefield may pay greenmana search library card named llanowar sentinel put card onto battlefield shuffle library
Black,blackmana looming shade get plusandplus end turn
Black,flying trample beginning upkeep sacrifice creature lord pit lord pit deal damage
Black,zombie creature get plusandplus blackmana tap return target zombie card graveyard hand
White,whitemana tap tap target creature
White,loyal sentry block creature destroy creature loyal sentry
White,prevent damage black source red source would deal turn
Green,enchant creature creature able block enchanted creature
Blue,flying creature blocked except creature flying reach
Red,whenever player tap land mana manabarbs deal damage player
Blue,noncreature artifact artifact creature power toughness equal converted mana cost equipment creature equip creature
Black,whenever opponent discard card megrim deal damage player
Blue,tap draw card discard card
Black,exile x target creature card graveyard creature card exiled way create black zombie creature token
Green,target red white creature gain trample end turn deal excess combat damage player planeswalker attacking
Green,target creature get plusandplus end turn
Blue,change text target permanent replacing instance one color word another one basic land type another example may change nonblack creature nongreen creature forestwalk islandwalk effect last indefinitely
Black,target player discard two card
Green,first strike forestwalk vigilance creature deal combat damage creature without first strike blocked long defending player control forest attacking cause creature tap
White,soldier creature vigilance whitemana create white soldier creature token
Red,sacrifice mogg fanatic deal damage target
Green,trample creature deal excess combat damage player planeswalker attacking molimo marominussorcerer power toughness equal number land control
Black,beginning upkeep twenty creature card graveyard win game
Black,mortivore power toughness equal number creature card graveyard blackmana regenerate mortivore
Red,tap add redmana
Black,sacrifice creature nantuko husk get plusandplus end turn
Green,target player gain life
Green,destroy target artifact enchantment
Black,first strike nekrataal enters battlefield destroy target nonartifact nonblack creature creature regenerated
Black,flying creature blocked except creature flying reach nightmare power toughness equal number swamp control
Black,sacrifice rest wicked return hand creature card graveyard put battlefield turn
White,whitemana tap put target aura card graveyard onto battlefield control attached creature control
Red,tap orcish artillery deal damage target damage
Green,enchant land whenever enchanted land tapped mana controller add additional greenmanagreenmana
Green,creature control get plusandplus gain trample end turn
White,enchant creature enchanted creature attack block
White,first strike protection black red creature deal combat damage creature without first strike blocked targeted dealt damage enchanted anything black red
White,enchant creature damage would dealt dealt enchanted creature instead
Blue,look target player hand draw card
Blue,enchant creature target creature cast card enters battlefield attached creature control enchanted creature
Black,phage untouchable enters battlefield cast hand lose game whenever phage deal combat damage creature destroy creature regenerated whenever phage deal combat damage player player loses game
Blue,phantom warrior blocked
Black,phyrexian rager enters battlefield draw card lose life
Green,shroud creature target spell ability
Blue,end turn target player would draw card instead player skip draw draw card
Black,swampwalk creature blocked long defending player control swamp
Black,destroy creature control regenerated
White,tap add whitemana
Green,creature control trample creature trample deal excess combat damage player planeswalker attacking
Red,tap prodigal pyromancer deal damage target
Blue,bluemana tap may tap untap target creature
Red,pyroclasm deal damage creature
Green,whenever cast white blue black red spell put plusandplus counter quirion dryad
Red,target black green creature gain haste end turn attack tap turn
Red,haste creature attack tap soon come control
Black,destroy target land
Green,search library basic land card put card onto battlefield tapped shuffle library
Black,ravenous rat enters battlefield target opponent discard card
Green,return target card graveyard hand
Black,return target creature card graveyard hand draw card
Green,enchant creature target creature cast card enters battlefield attached creature greenmana regenerate enchanted creature next time creature would destroyed turn instead tap remove damage remove combat
Red,untap creature attacked turn main phase additional combat phase followed additional main phase
Black,relentless rat get plusandplus creature battlefield named relentless rat deck number card named relentless rat
Blue,target player shuffle graveyard library
Blue,counter target creature spell
White,gain life draw card
White,flying beginning upkeep may return target creature card graveyard battlefield
Green,may rhox assign combat damage though blocked greenmana regenerate rhox next time creature would destroyed turn instead tap remove damage remove combat
White,target blocking creature get plusandplus end turn
Blue,enchant creature target creature cast card enters battlefield attached creature enchanted creature ha shroud target spell ability
Red,mountainwalk creature blocked long defending player control mountain
Green,artifact land enter battlefield tapped
Green,greenmana rootwalla get plusandplus end turn activate ability turn
Blue,islandwalk creature blocked long defending player control island
Blue,tap gain control target creature long creature enchanted
Black,tap destroy target tapped creature
White,player cast one spell turn
Green,forestwalk creature blocked long defending player control forest
Blue,flying sage owl enters battlefield look top four card library put back order
White,tap prevent next damage would dealt target turn
Blue,flying creature blocked except creature flying reach whenever scalpelexis deal combat damage player player exile top four card library two card name repeat process
Green,scion wild power toughness equal number creature control
Red,beginning upkeep flip coin lose flip return scoria wurm owner hand
Blue,sea monster attack unless defending player control island
Green,untap permanent control player untap step
Red,discard land card seismic assault deal damage target
Black,flying creature blocked except creature flying reach whenever creature dealt damage sengir vampire turn dy put plusandplus counter sengir vampire
White,flying vigilance
White,enchant creature enchanted creature get plusandplus ha flying vigilance
Black,fear creature blocked except artifact creature andandor black creature
Red,destroy artifact regenerated
Blue,enchant creature target creature cast card enters battlefield attached creature enchanted creature ha flying blocked except creature flying reach bluemana return shimmering wing owner hand
Red,flying creature blocked except creature flying reach redmana shivan dragon get plusandplus end turn
Red,flying creature blocked except creature flying reach redmana shivan hellkite deal damage target
Red,shock deal damage target
Red,change target target spell single target
Red,siegeminusgang commander enters battlefield create three red goblin creature token redmana sacrifice goblin siegeminusgang commander deal damage target
Blue,draw three card discard card
Blue,target white black creature gain flying end turn blocked except creature flying reach
White,flying first strike creature blocked except creature flying reach deal combat damage creature without first strike
White,flying vigilance creature blocked except creature flying reach attacking cause creature tap
White,flying double strike
Green,tap may put land card hand onto battlefield activate ability time could cast sorcery
Black,sleeper agent enters battlefield target opponent gain control beginning upkeep sleeper agent deal damage
Red,destroy target artifact draw card
Blue,flying creature blocked except creature flying reach
Black,target player loses life gain life
White,whenever another creature enters battlefield gain life
Red,additional cost cast spell sacrifice creature control soulblast deal damage target equal total power sacrificed creature
Red,trample haste creature deal excess combat damage player planeswalker attacking creature attack tap soon come control beginning end step sacrifice spark elemental
Black,spawning pool enters battlefield tapped tap add blackmana blackmana spawning pool becomes black skeleton creature blackmana regenerate creature end turn still land regenerates next time would destroyed turn instead tap remove damage remove combat
Blue,flying creature blocked except creature flying reach sacrifice spiketail hatchling counter target spell unless controller pay
Black,spineless thug block
White,enchant creature target creature cast card enters battlefield attached creature whenever enchanted creature deal damage gain much life
White,target green blue creature get plusandplus end turn
Red,spitting earth deal damage target creature equal number mountain control
Red,beginning upkeep may return squee goblin nabob graveyard hand
Green,stalking tiger blocked one creature
Green,trample creature deal excess combat damage player planeswalker attacking beginning upkeep return green creature control owner hand
White,whitemana gain life
White,vigilance attacking cause creature tap
White,story circle enters battlefield choose color whitemana next time source choice chosen color would deal damage turn prevent damage
Black,player loses life creature control
Red,target creature block turn draw card
Red,sudden impact deal damage target player equal number card player hand
Blue,beginning player upkeep player return creature control owner hand
White,flying
Black,tap add blackmana
Green,whenever sylvan basilisk becomes blocked creature destroy creature
Green,search library land card reveal put hand shuffle library
Green,flash may cast spell time could cast instant reach creature block creature flying
Blue,opponent play hand revealed
Blue,look top three card library put one card hand one top library one bottom library
White,destroy enchantment
Black,destroy target nonartifact nonblack creature regenerated
Blue,flying creature blocked except creature flying reach whenever thieving magpie deal damage opponent draw card
Red,untap target creature gain control end turn creature gain haste end turn attack tap turn
Black,blackmana sacrifice thrull surgeon look target player hand choose card player discard card activate ability time could cast sorcery
Red,haste creature attack tap soon come control
Blue,draw four card
Blue,end turn exile spell ability stack including card player whose turn discard maximum hand size damage wear turn end turn effect end
Blue,target player take two extra turn one
Blue,target player put top half library rounded graveyard
White,treasure hunter enters battlefield may return target artifact card graveyard hand
Green,enchant creature target creature cast card enters battlefield attached creature enchanted creature get plusandplus blocked except creature flying
Green,treetop village enters battlefield tapped tap add greenmana greenmana treetop village becomes green ape creature trample end turn still land deal excess combat damage player planeswalker attacking
Green,hexproof creature target spell ability opponent control greenmana regenerate troll ascetic
White,shroud target spell ability
White,first strike creature deal combat damage creature without first strike
Blue,copy target instant sorcery spell may choose new target copy
Blue,may tap untap target artifact creature land draw card
Red,flash may cast spell time could cast instant enchant creature enchanted creature get plusandplus attack combat able
Black,whenever opponent draw card underworld dream deal damage player
Black,enchant creature enchanted creature get plusandplus
Blue,return target creature owner hand
Green,player lose unspent mana step phase end
Black,flying creature blocked except creature flying reach blackmana vampire bat get plusandplus end turn activate ability twice turn
Blue,bluemana tap return target permanent control owner hand
White,venerable monk enters battlefield gain life
Green,beginning upkeep create green saproling creature token
Red,menace creature blocked except two creature
Red,haste creature attack tap soon come control beginning end step return viashino sandscout owner hand return battlefield
Green,viridian shaman enters battlefield destroy target artifact
White,flying voice enters battlefield choose color voice ha protection chosen color
Blue,defender flying creature attack block creature flying
Red,defender creature attack redmana wall fire get plusandplus end turn
White,defender creature attack flying
Green,defender creature attack
Red,player shuffle permanent library reveals many card top library player put artifact creature land card revealed way onto battlefield doe enchantment card put card revealed way put onto battlefield bottom library
White,creature control get plusandplus end turn
White,flying
White,flying creature attack unless controller pay creature control attacking
White,destroy creature regenerated
Green,yavimaya enchantress get plusandplus enchantment battlefield
White,first strike
Blue,target player draw three card
Blue,enchant artifact long enchanted artifact creature artifact creature power toughness equal converted mana cost
Black,enchant creature card graveyard animate dead enters battlefield battlefield loses enchant creature card graveyard gain enchant creature put onto battlefield animate dead return enchanted creature card battlefield control attach animate dead animate dead leaf battlefield creature controller sacrifice enchanted creature get minusandminus
White,enchant wall enchanted wall attack though defender
White,destroy land
Green,enchant creature enchanted creature get plusxandplusy x half number forest control rounded half number forest control rounded
Black,black creature get plusandplus
White,player chooses number land control equal number land controlled player control fewest sacrifice rest player discard card sacrifice creature way
White,banding creature banding one without attack band band blocked group creature banding control blocking blocked creature divide creature combat damage controller among creature blocked blocking
Green,cast spell combat damage step target creature gain trample get plusxandplus end turn x power beginning next end step destroy creature attacked turn
Black,first strike creature deal combat damage creature without first strike protection white creature blocked targeted dealt damage enchanted anything white
White,enchant creature enchanted creature ha protection black effect remove black ward
White,cast spell combat blocker declared target creature defending player control block number creature turn block attacking creature turn able
White,enchant creature whitemana enchanted creature get plusandplus end turn
Blue,choose one counter target red spell destroy target red permanent
White,enchant creature enchanted creature ha protection blue effect remove blue ward
Blue,target player draw x card
Red,enchant creature enchanted creature ha mountainwalk blocked long defending player control mountain
Green,cast spell declare attacker step turn instead declaring blocker defending player chooses number creature control divide number pile equal number attacking creature player defending player creature player control block additional creature may likewise put additional pile assign pile different one attacking creature random creature pile block creature pile assigned doe pile empty
White,untapped creature control get plusandplus
Green,end turn time could activate mana ability may pay life add colorlessmana
Red,target spell permanent becomes red mana symbol remain unchanged
White,next time black source choice would deal damage turn prevent damage
White,next time blue source choice would deal damage turn prevent damage
White,next time green source choice would deal damage turn prevent damage
White,next time red source choice would deal damage turn prevent damage
White,next time white source choice would deal damage turn prevent damage
Green,flying whenever cockatrice block becomes blocked nonminuswall creature destroy creature end combat
White,enchant land enchanted land ha indestructible enchanted aura
Black,remove contract deck playing playing ante discard hand ante top card library draw seven card
Blue,enchant creature control enchanted creature
White,beginning upkeep sacrifice conversion unless pay whitemanawhitemana mountain plain
Blue,may copy artifact enter battlefield copy artifact battlefield except enchantment addition type
Blue,counter target spell
Blue,enchant creature enchanted creature dy creature bond deal damage equal creature toughness creature controller
White,white creature get plusandplus
Black,enchant land beginning upkeep enchanted land controller cursed land deal damage player
Black,add blackmanablackmanablackmana
Black,remove darkpact deck playing playing ante target card ante exchange card top card library
White,regenerate target creature
Black,blackmanablackmana counter target green spell
Black,target spell permanent becomes black mana symbol permanent remain unchanged
Black,remove demonic attorney deck playing playing ante player ante top card library
Black,tap destroy target land beginning upkeep unless pay blackmanablackmanablackmana tap demonic horde sacrifice land opponent choice
Black,search library card put card hand shuffle library
White,destroy target artifact enchantment
Red,disintegrate deal x damage target creature regenerated turn would die turn exile instead
Red,flying redmana dragon whelp get plusandplus end turn ability ha activated four time turn sacrifice dragon whelp beginning next end step
Black,spend black mana x drain life deal x damage target gain life equal damage dealt life player life total damage wa dealt planeswalker loyalty damage wa dealt creature toughness
Blue,target player activates mana ability land control player loses unspent mana add mana lost way
Red,tap destroy target wall
Red,tap target creature power le blocked turn
Red,enchant creature earthbind enters battlefield enchanted creature ha flying earthbind deal damage creature earthbind gain enchanted creature loses flying
Red,earthquake deal x damage creature without flying player
Green,first strike
Black,enchant land enchanted land swamp
Red,cast spell declare blocker step remove target creature defending player control combat creature wa blocking become blocked creature combat become unblocked may block attacking creature choice
White,enchant land enchanted land ha beginning upkeep may pay whitemanawhitemana gain life
Green,may play number land turn whenever play land first land played turn fastbond deal damage
Blue,enchant enchantment beginning upkeep enchanted enchantment controller feedback deal damage player
Red,spell cost cast target beyond first fireball deal x damage divided evenly rounded among number target
Red,destroy plain
Blue,enchant creature enchanted creature ha flying
Green,prevent combat damage would dealt turn
Green,trample creature deal excess combat damage player planeswalker attacking beginning upkeep force nature deal damage unless pay greenmanagreenmanagreenmanagreenmana
Red,copy target instant sorcery spell except copy red may choose new target copy
Black,blackmana frozen shade get plusandplus end turn
Green,whenever fungusaur dealt damage put plusandplus counter
Green,long gaea liege attacking power toughness equal number forest control long gaea liege attacking power toughness equal number forest defending player control tap target land becomes forest gaea liege leaf battlefield
Red,red creature get plusandplus whenever mountain tapped mana controller add additional redmana
Black,white spell cost cast activated ability white enchantment cost activate
Red,redmana goblin balloon brigade gain flying end turn
Red,flying redmana granite gargoyle get plusandplus end turn
White,enchant creature enchanted creature ha protection green effect remove green ward
White,prevent next x damage would dealt target turn end turn may pay time could cast instant prevent next damage would dealt permanent player turn
White,choose one target player gain life prevent next damage would dealt target turn
White,enchant creature enchanted creature get plusandplus whitemana enchanted creature get plusandplus end turn
Black,target creature get plusxandplus end turn
Green,destroy target land
Green,enchant creature enchanted creature attack though haste untap enchanted creature activate ability turn turn
Blue,enchant creature enchanted creature blocked except wall
Red,ironclaw orcs block creature power greater
White,would draw card draw step instead may skip draw next turn attacked except creature flying andandor islandwalk
Blue,target creature gain flying end turn
